Rooms,Price,Area,Bathrooms,Condition,AdsType,PricePerSquareMeter,District,Municipality,id,Zone
4.0,15000.0,82.0,2.0,Renovated,Rent,182.9268292682927,Aveiro, Aradas,6,Centro
5.0,15600.0,180.0,3.0,Renovated,Rent,86.66666666666667,Aveiro, Cacia,10,Centro
3.0,18000.0,173.28,3.0,Used,Rent,103.8781163434903,Braga, Crespos e Pousada,23,Norte
3.0,24000.0,132.0,3.0,Used,Rent,181.8181818181818,Braga, Tebosa,24,Norte
3.0,13800.0,110.0,2.0,Used,Rent,125.45454545454545,Braga, Braga (São José de São Lázaro e São João do Souto),27,Norte
3.0,19800.0,165.45,4.0,Renovated,Rent,119.67361740707163,Braga, Palmeira,32,Norte
3.0,21000.0,165.45,4.0,Used,Rent,126.92656391659112,Braga, Palmeira,40,Norte
5.0,16800.0,120.0,3.0,Used,Rent,140.0,Braga, São Victor,48,Norte
2.0,14400.0,130.0,1.0,Used,Rent,110.76923076923077,Braga, Vieira do Minho,64,Norte
4.0,6000.0,120.0,2.0,Renovated,Rent,50.0,Bragança, Mirandela,68,Norte
3.0,4800.0,153.0,2.0,Used,Rent,31.372549019607842,Bragança, Mirandela,69,Norte
2.0,7200.0,60.0,1.0,Renovated,Rent,120.0,Coimbra, Santo António dos Olivais,83,Centro
2.0,18000.0,108.0,3.0,Renovated,Rent,166.66666666666666,Évora, Bacelo e Senhora da Saúde,86,Alentejo
2.0,5400.0,60.0,1.0,Renovated,Rent,90.0,Évora, Reguengos de Monsaraz,88,Alentejo
2.0,6000.0,60.0,1.0,Renovated,Rent,100.0,Évora, Redondo,89,Alentejo
4.0,35880.0,167.0,4.0,New,Rent,214.85029940119762,Faro, Montenegro,93,Alentejo
4.0,18000.0,140.0,4.0,Used,Rent,128.57142857142858,Faro, Faro (Sé e São Pedro),113,Alentejo
2.0,7800.0,55.0,2.0,Renovated,Rent,141.8181818181818,Faro, Vila Real de Santo António,128,Alentejo
2.0,9000.0,71.0,1.0,Used,Rent,126.7605633802817,Faro, Olhão,131,Alentejo
1.0,7560.0,65.0,2.0,Renovated,Rent,116.3076923076923,Faro, Portimão,132,Alentejo
4.0,15600.0,126.0,3.0,New,Rent,123.80952380952381,Faro, Vila Real de Santo António,144,Alentejo
3.0,10800.0,176.0,3.0,Used,Rent,61.36363636363637,Leiria, Santa Catarina da Serra e Chainça,169,Centro
2.0,7200.0,80.0,1.0,Renovated,Rent,90.0,Leiria, Caranguejeira,173,Centro
4.0,48000.0,240.0,3.0,New,Rent,200.0,Leiria, Batalha,179,Centro
3.0,12000.0,120.0,1.0,Renovated,Rent,100.0,Leiria, Batalha,180,Centro
2.0,12000.0,300.0,1.0,Renovated,Rent,40.0,Leiria, Peniche,181,Centro
5.0,84000.0,374.0,4.0,Renovated,Rent,224.59893048128342,Lisboa, Santo António,208,Centro
6.0,90000.0,151.0,4.0,Used,Rent,596.0264900662252,Lisboa, Belém,230,Centro
8.0,300000.0,400.0,4.0,Used,Rent,750.0,Lisboa, Alvalade,245,Centro
3.0,84000.0,218.0,3.0,Used,Rent,385.3211009174312,Lisboa, Estrela,296,Centro
5.0,120000.0,400.0,4.0,New,Rent,300.0,Lisboa, Belém,299,Centro
3.0,36000.0,134.0,2.0,New,Rent,268.65671641791045,Lisboa, Estrela,307,Centro
3.0,36000.0,134.0,2.0,Used,Rent,268.65671641791045,Lisboa, Estrela,308,Centro
4.0,48000.0,188.0,2.0,Renovated,Rent,255.31914893617022,Lisboa, Belém,318,Centro
3.0,38400.0,148.0,2.0,Used,Rent,259.4594594594595,Lisboa, Alvalade,320,Centro
3.0,42000.0,130.0,2.0,Renovated,Rent,323.0769230769231,Lisboa, Alvalade,321,Centro
7.0,144000.0,540.0,4.0,Renovated,Rent,266.6666666666667,Lisboa, Belém,322,Centro
3.0,36000.0,134.0,2.0,Renovated,Rent,268.65671641791045,Lisboa, Estrela,323,Centro
3.0,21000.0,250.0,3.0,Used,Rent,84.0,Lisboa, Loures,342,Centro
7.0,144000.0,390.0,4.0,Used,Rent,369.2307692307692,Lisboa, Alvalade,351,Centro
3.0,13200.0,120.0,1.0,Renovated,Rent,110.0,Lisboa, Loures,352,Centro
1.0,8400.0,50.0,1.0,Used,Rent,168.0,Lisboa, Arruda dos Vinhos,359,Centro
4.0,90000.0,482.0,4.0,Used,Rent,186.7219917012448,Porto, Ramalde,386,Norte
6.0,180000.0,578.0,4.0,New,Rent,311.4186851211073,Porto, Lordelo do Ouro e Massarelos,402,Norte
3.0,13200.0,120.0,3.0,Renovated,Rent,110.0,Porto, Paranhos,410,Norte
6.0,58800.0,259.0,2.0,Renovated,Rent,227.02702702702703,Porto, Ramalde,422,Norte
2.0,7800.0,25.0,1.0,Renovated,Rent,312.0,Porto, Ramalde,434,Norte
3.0,21000.0,180.0,3.0,Renovated,Rent,116.66666666666667,Porto, Paços de Ferreira,442,Norte
6.0,9000.0,165.0,2.0,Used,Rent,54.54545454545455,Porto, Vila do Conde,447,Norte
3.0,7800.0,100.0,2.0,Used,Rent,78.0,Porto, Penafiel,448,Norte
4.0,10200.0,85.0,1.0,Used,Rent,120.0,Porto, Valongo,454,Norte
5.0,10800.0,160.0,2.0,Renovated,Rent,67.5,Santarém, Ferreira do Zêzere,467,Centro
3.0,9600.0,80.0,1.0,Used,Rent,120.0,Santarém, Golegã,471,Centro
1.0,3240.0,111.0,1.0,Used,Rent,29.18918918918919,Santarém, Arneiro das Milhariças,474,Centro
2.0,58800.0,190.0,2.0,Used,Rent,309.4736842105263,Setúbal, Palmela,484,Alentejo
